dataset	AUROC	AUPRC	F1	MCC
wgEncodeAwgTfbsSydhK562CjunIfna30UniPk	0.76659903	0.787339347	0.681455191	0.409666283
wgEncodeAwgTfbsBroadHmecCtcfUniPk	0.829414346	0.846092884	0.660945115	0.497384658
wgEncodeAwgTfbsHaibPanc1NrsfPcr2xUniPk	0.699911689	0.690265131	0.583452211	0.281465706
wgEncodeAwgTfbsSydhH1hescUsf2IggrabUniPk	0.85941982	0.864790001	0.767398783	0.554965761
wgEncodeAwgTfbsSydhPbdeGata1UcdUniPk	0.710665124	0.720446673	0.636263197	0.307367773
wgEncodeAwgTfbsHaibEcc1CtcfcV0416102Dm002p1hUniPk	0.844189266	0.862086632	0.731553919	0.519480725
wgEncodeAwgTfbsSydhGm12878E2f4IggmusUniPk	0.826543463	0.810617675	0.750378567	0.478438877
wgEncodeAwgTfbsUtaMcf7CmycSerumstvdUniPk	0.734866776	0.738862846	0.606349964	0.347765958
wgEncodeAwgTfbsUtaH1hescCmycUniPk	0.639344318	0.649570251	0.601769912	0.171204519
wgEncodeAwgTfbsSydhH1hescNrf1IggrabUniPk	0.88503925	0.887415732	0.785813149	0.59390127
wgEncodeAwgTfbsSydhHelas3Usf2IggmusUniPk	0.824760066	0.824955457	0.740077486	0.486717298
wgEncodeAwgTfbsUwHct116CtcfUniPk	0.823574581	0.84417468	0.69419775	0.480002307
wgEncodeAwgTfbsSydhHepg2Srebp1InslnUniPk	0.808444125	0.775271492	0.753509264	0.482262914
wgEncodeAwgTfbsSydhMcf10aesCfosTam14hHvdUniPk	0.795581226	0.801356224	0.701191326	0.450448476
wgEncodeAwgTfbsUtaMcf7CtcfVehUniPk	0.826929374	0.839212379	0.708209887	0.482071965
wgEncodeAwgTfbsHaibK562CtcfcPcr1xUniPk	0.833307603	0.846017836	0.722157794	0.487649662
wgEncodeAwgTfbsUwHrpeCtcfUniPk	0.83448736	0.852882323	0.706782557	0.501823028
wgEncodeAwgTfbsUwHacCtcfUniPk	0.81692974	0.830848618	0.692810946	0.459054918
wgEncodeAwgTfbsUtaMcf7CtcfEstroUniPk	0.828032783	0.846305911	0.709586818	0.496512421
wgEncodeAwgTfbsSydhK562CmycIfna30UniPk	0.786303764	0.79160856	0.712917956	0.429829215
wgEncodeAwgTfbsUtaProgfibCtcfUniPk	0.842281947	0.854005684	0.721207307	0.50691815
wgEncodeAwgTfbsBroadH1hescCtcfUniPk	0.833597891	0.847805449	0.701308284	0.485584686
wgEncodeAwgTfbsSydhH1hescBach1sc14700IggrabUniPk	0.81640504	0.801957224	0.721494026	0.472936527
wgEncodeAwgTfbsSydhK562JundIggrabUniPk	0.801639355	0.800040806	0.715044248	0.450938169
wgEncodeAwgTfbsHaibGm12878Elf1sc631V0416101UniPk	0.790000296	0.799980501	0.693568397	0.430021841
