dataset	AUROC	AUPRC	F1	MCC
wgEncodeAwgTfbsSydhH1hescMafkIggrabUniPk	0.802363	0.823667	0.720585	0.444043
wgEncodeAwgTfbsUwWi38CtcfUniPk	0.804437	0.821065	0.649746	0.455598
wgEncodeAwgTfbsUtaGm12878CtcfUniPk	0.842071	0.858138	0.756352	0.503327
wgEncodeAwgTfbsHaibH1hescRxraV0416102UniPk	0.760041	0.722695	0.692935	0.384957
wgEncodeAwgTfbsUwGm12801CtcfUniPk	0.801347	0.797149	0.747253	0.443586
wgEncodeAwgTfbsSydhHuvecMaxUniPk	0.843046	0.836415	0.779348	0.556847
wgEncodeAwgTfbsSydhHepg2Tr4UcdUniPk	0.839494	0.82616	0.781141	0.540195
wgEncodeAwgTfbsHaibK562MaxV0416102UniPk	0.752686	0.727731	0.688067	0.383478
wgEncodeAwgTfbsSydhShsy5yGata3sc269sc269UcdUniPk	0.686756	0.688404	0.600591	0.264614
wgEncodeAwgTfbsHaibHepg2Foxa1sc101058V0416101UniPk	0.743914	0.74594	0.67868	0.364136
wgEncodeAwgTfbsUwHeeCtcfUniPk	0.812285	0.831116	0.691041	0.46281
wgEncodeAwgTfbsUwNhlfCtcfUniPk	0.816464	0.832842	0.707276	0.471486
wgEncodeAwgTfbsSydhImr90CebpbIggrabUniPk	0.816343	0.826442	0.740504	0.506788
wgEncodeAwgTfbsHaibH1hescSp1Pcr1xUniPk	0.811271	0.789613	0.745627	0.481914
wgEncodeAwgTfbsSydhHelas3MaxIggrabUniPk	0.764438	0.740235	0.716552	0.409306
wgEncodeAwgTfbsSydhHct116Tcf7l2UcdUniPk	0.701541	0.692053	0.599277	0.294324
wgEncodeAwgTfbsUwK562CtcfUniPk	0.819092	0.835944	0.6772	0.476655
wgEncodeAwgTfbsHaibSknshraUsf1sc8983V0416102UniPk	0.801659	0.782358	0.723263	0.456757
wgEncodeAwgTfbsUtaH1hescCtcfUniPk	0.839642	0.845653	0.715144	0.511055
wgEncodeAwgTfbsUwNb4CtcfUniPk	0.830617	0.844405	0.730345	0.500463
wgEncodeAwgTfbsSydhGm12878Nfe2sc22827UniPk	0.75371	0.812137	0.548223	0.385257
wgEncodeAwgTfbsUwAg09309CtcfUniPk	0.819731	0.837201	0.672394	0.489638
wgEncodeAwgTfbsUwHaspCtcfUniPk	0.821241	0.838306	0.715843	0.479881
