dataset	AUROC	AUPRC	F1	MCC
wgEncodeAwgTfbsSydhPbdeGata1UcdUniPk	0.727068	0.745645	0.664915	0.326509
wgEncodeAwgTfbsHaibEcc1CtcfcV0416102Dm002p1hUniPk	0.861591	0.878207	0.750643	0.565546
wgEncodeAwgTfbsSydhGm12878E2f4IggmusUniPk	0.944261	0.949940	0.871988	0.743098
wgEncodeAwgTfbsUtaMcf7CmycSerumstvdUniPk	0.852983	0.879755	0.767216	0.554677
wgEncodeAwgTfbsUtaH1hescCmycUniPk	0.838804	0.867461	0.725664	0.563815
wgEncodeAwgTfbsSydhH1hescNrf1IggrabUniPk	0.962086	0.964574	0.904892	0.809299
wgEncodeAwgTfbsSydhHelas3Usf2IggmusUniPk	0.884511	0.897430	0.787884	0.612386
wgEncodeAwgTfbsUwHct116CtcfUniPk	0.824037	0.839632	0.713362	0.522700
wgEncodeAwgTfbsSydhHepg2Srebp1InslnUniPk	0.874778	0.871364	0.783767	0.572445
wgEncodeAwgTfbsSydhMcf10aesCfosTam14hHvdUniPk	0.841530	0.837227	0.776349	0.569204
wgEncodeAwgTfbsUtaMcf7CtcfVehUniPk	0.825263	0.829005	0.729259	0.496666
wgEncodeAwgTfbsHaibK562CtcfcPcr1xUniPk	0.831096	0.839214	0.716975	0.518414
wgEncodeAwgTfbsUwHrpeCtcfUniPk	0.845135	0.861617	0.725685	0.529958
wgEncodeAwgTfbsUwHacCtcfUniPk	0.821258	0.831025	0.717676	0.490394
wgEncodeAwgTfbsUtaMcf7CtcfEstroUniPk	0.846400	0.860385	0.735686	0.538288
wgEncodeAwgTfbsSydhK562CmycIfna30UniPk	0.878987	0.901056	0.794849	0.601042
wgEncodeAwgTfbsUtaProgfibCtcfUniPk	0.845977	0.848659	0.758423	0.547272
wgEncodeAwgTfbsBroadH1hescCtcfUniPk	0.821593	0.819973	0.714867	0.511562
wgEncodeAwgTfbsSydhH1hescBach1sc14700IggrabUniPk	0.860317	0.863373	0.762954	0.551424
wgEncodeAwgTfbsSydhK562JundIggrabUniPk	0.847664	0.855486	0.774617	0.592503
wgEncodeAwgTfbsHaibGm12878Elf1sc631V0416101UniPk	0.800746	0.804178	0.731362	0.455615
wgEncodeAwgTfbsSydhK562CjunIfna6hUniPk	0.832184	0.865060	0.705254	0.537101
wgEncodeAwgTfbsHaibHepg2NrsfPcr2xUniPk	0.861743	0.883816	0.769369	0.558671
wgEncodeAwgTfbsHaibGm12878Atf3Pcr1xUniPk	0.914200	0.927226	0.808023	0.660708
wgEncodeAwgTfbsHaibGm12878Cebpbsc150V0422111UniPk	0.818031	0.859866	0.708588	0.522696
wgEncodeAwgTfbsHaibA549Ctcfsc5916Pcr1xEtoh02UniPk	0.850444	0.862221	0.731523	0.560974
wgEncodeAwgTfbsUwHuvecCtcfUniPk	0.829160	0.832523	0.737527	0.537491
wgEncodeAwgTfbsHaibH1hescSp2V0422111UniPk	0.970776	0.973735	0.911760	0.825829
wgEncodeAwgTfbsSydhK562Gata2UcdUniPk	0.783221	0.786798	0.654046	0.416220
wgEncodeAwgTfbsSydhGm12878Tr4UniPk	0.930391	0.941533	0.849442	0.720742
wgEncodeAwgTfbsSydhHepg2Mafksc477IggrabUniPk	0.815866	0.851075	0.725930	0.526104
wgEncodeAwgTfbsBroadOsteoblCtcfUniPk	0.803659	0.820278	0.682819	0.443480
wgEncodeAwgTfbsSydhHelas3MafkIggrabUniPk	0.812383	0.838614	0.703818	0.508645
wgEncodeAwgTfbsHaibSknmcFoxp2Pcr2xUniPk	0.794508	0.804355	0.724245	0.408430
