dataset	AUROC	AUPRC	F1	MCC
wgEncodeAwgTfbsSydhK562CjunIfna30UniPk	0.76111688	0.790156844	0.65234375	0.433470442
wgEncodeAwgTfbsBroadHmecCtcfUniPk	0.855441296	0.876636675	0.726061615	0.54412983
wgEncodeAwgTfbsHaibPanc1NrsfPcr2xUniPk	0.721881654	0.732875867	0.590863952	0.334113249
wgEncodeAwgTfbsSydhH1hescUsf2IggrabUniPk	0.859370136	0.875691221	0.771091194	0.60337029
wgEncodeAwgTfbsSydhPbdeGata1UcdUniPk	0.732862345	0.742285888	0.630175983	0.338457768
wgEncodeAwgTfbsHaibEcc1CtcfcV0416102Dm002p1hUniPk	0.858256826	0.881939244	0.7365885	0.562209178
wgEncodeAwgTfbsSydhGm12878E2f4IggmusUniPk	0.876988399	0.870382623	0.803880634	0.6101344
wgEncodeAwgTfbsUtaMcf7CmycSerumstvdUniPk	0.759869723	0.756808949	0.662140756	0.403427496
wgEncodeAwgTfbsUtaH1hescCmycUniPk	0.692509083	0.6838659	0.537853107	0.253254281
wgEncodeAwgTfbsSydhH1hescNrf1IggrabUniPk	0.926798095	0.929737028	0.840437637	0.704317727
wgEncodeAwgTfbsSydhHelas3Usf2IggmusUniPk	0.835695158	0.846693484	0.734324376	0.536625889
wgEncodeAwgTfbsUwHct116CtcfUniPk	0.839380698	0.862683136	0.70358133	0.517458784
wgEncodeAwgTfbsSydhHepg2Srebp1InslnUniPk	0.833065052	0.83248133	0.720265781	0.501107482
wgEncodeAwgTfbsSydhMcf10aesCfosTam14hHvdUniPk	0.851702026	0.855642577	0.755615499	0.556174438
wgEncodeAwgTfbsUtaMcf7CtcfVehUniPk	0.846170522	0.864987268	0.720030523	0.531352404
wgEncodeAwgTfbsHaibK562CtcfcPcr1xUniPk	0.855489955	0.870058767	0.733377738	0.539819181
wgEncodeAwgTfbsUwHrpeCtcfUniPk	0.851628699	0.873324454	0.723322394	0.543862061
wgEncodeAwgTfbsUwHacCtcfUniPk	0.842973993	0.86111997	0.732731003	0.507101246
wgEncodeAwgTfbsUtaMcf7CtcfEstroUniPk	0.854792074	0.873539712	0.733265005	0.558817275
wgEncodeAwgTfbsSydhK562CmycIfna30UniPk	0.807314659	0.811249998	0.690396239	0.483300702
wgEncodeAwgTfbsUtaProgfibCtcfUniPk	0.866971602	0.882078001	0.752742392	0.566585565
wgEncodeAwgTfbsBroadH1hescCtcfUniPk	0.855586989	0.871618159	0.725419458	0.535914171
wgEncodeAwgTfbsSydhH1hescBach1sc14700IggrabUniPk	0.815163299	0.818216719	0.709421403	0.515404486
wgEncodeAwgTfbsSydhK562JundIggrabUniPk	0.834310839	0.835086918	0.731953269	0.537913673
