dataset	AUROC	AUPRC	F1	MCC
wgEncodeAwgTfbsSydhPbdeGata1UcdUniPk	0.71046	0.72307	0.579305	0.329578
wgEncodeAwgTfbsHaibEcc1CtcfcV0416102Dm002p1hUniPk	0.852655	0.866752	0.713404	0.551069
wgEncodeAwgTfbsSydhGm12878E2f4IggmusUniPk	0.883511	0.877271	0.808432	0.62075
wgEncodeAwgTfbsUtaMcf7CmycSerumstvdUniPk	0.805238	0.803439	0.69252	0.469736
wgEncodeAwgTfbsUtaH1hescCmycUniPk	0.779372	0.792869	0.579416	0.445297
wgEncodeAwgTfbsSydhH1hescNrf1IggrabUniPk	0.897936	0.882686	0.828155	0.676817
wgEncodeAwgTfbsSydhHelas3Usf2IggmusUniPk	0.850779	0.841941	0.740613	0.553393
wgEncodeAwgTfbsUwHct116CtcfUniPk	0.829307	0.850033	0.709356	0.50065
wgEncodeAwgTfbsSydhHepg2Srebp1InslnUniPk	0.859421	0.839509	0.763057	0.555798
wgEncodeAwgTfbsSydhMcf10aesCfosTam14hHvdUniPk	0.81751	0.810782	0.746318	0.522145
wgEncodeAwgTfbsUtaMcf7CtcfVehUniPk	0.826672	0.831624	0.707334	0.497951
wgEncodeAwgTfbsHaibK562CtcfcPcr1xUniPk	0.842387	0.855734	0.732848	0.523633
wgEncodeAwgTfbsUwHrpeCtcfUniPk	0.841618	0.858207	0.712657	0.517238
wgEncodeAwgTfbsUwHacCtcfUniPk	0.824159	0.837694	0.709197	0.478552
wgEncodeAwgTfbsUtaMcf7CtcfEstroUniPk	0.841394	0.857285	0.699668	0.535638
wgEncodeAwgTfbsSydhK562CmycIfna30UniPk	0.834019	0.832272	0.769625	0.525195
wgEncodeAwgTfbsUtaProgfibCtcfUniPk	0.848819	0.852355	0.74714	0.540348
wgEncodeAwgTfbsBroadH1hescCtcfUniPk	0.830416	0.8331	0.737067	0.488986
wgEncodeAwgTfbsSydhH1hescBach1sc14700IggrabUniPk	0.834652	0.820572	0.733929	0.520574
wgEncodeAwgTfbsSydhK562JundIggrabUniPk	0.81257	0.804227	0.725174	0.505212
wgEncodeAwgTfbsHaibGm12878Elf1sc631V0416101UniPk	0.79987	0.798266	0.718935	0.453194
wgEncodeAwgTfbsSydhK562CjunIfna6hUniPk	0.795866	0.814984	0.632606	0.448276
wgEncodeAwgTfbsHaibHepg2NrsfPcr2xUniPk	0.78582	0.7985	0.675585	0.425271
wgEncodeAwgTfbsHaibGm12878Atf3Pcr1xUniPk	0.909978	0.923818	0.845304	0.711706
wgEncodeAwgTfbsHaibGm12878Cebpbsc150V0422111UniPk	0.780348	0.793263	0.621074	0.438257
wgEncodeAwgTfbsHaibA549Ctcfsc5916Pcr1xEtoh02UniPk	0.854115	0.86805	0.733424	0.554393
wgEncodeAwgTfbsUwHuvecCtcfUniPk	0.83756	0.846763	0.711122	0.521355
wgEncodeAwgTfbsHaibH1hescSp2V0422111UniPk	0.920718	0.91724	0.841649	0.701211
wgEncodeAwgTfbsSydhK562Gata2UcdUniPk	0.770159	0.763365	0.676779	0.407702
wgEncodeAwgTfbsSydhGm12878Tr4UniPk	0.906341	0.910133	0.822183	0.649712
wgEncodeAwgTfbsSydhHepg2Mafksc477IggrabUniPk	0.815977	0.852103	0.71012	0.535439
wgEncodeAwgTfbsBroadOsteoblCtcfUniPk	0.804296	0.817169	0.706444	0.439267
wgEncodeAwgTfbsSydhHelas3MafkIggrabUniPk	0.802653	0.821852	0.70018	0.468344
wgEncodeAwgTfbsHaibSknmcFoxp2Pcr2xUniPk	0.770361	0.754703	0.72267	0.4002
wgEncodeAwgTfbsSydhImr90CtcfbIggrabUniPk	0.846768	0.859935	0.735453	0.534994
wgEncodeAwgTfbsHaibGm12878Pou2f2Pcr1xUniPk	0.770765	0.764077	0.704609	0.387514
wgEncodeAwgTfbsHaibH1hescYy1sc281V0416102UniPk	0.810563	0.785918	0.729123	0.462841
wgEncodeAwgTfbsUtaGm19238CtcfUniPk	0.835535	0.836125	0.734936	0.499376
wgEncodeAwgTfbsUwHl60CtcfUniPk	0.849245	0.853412	0.7615	0.523449
wgEncodeAwgTfbsUwHffmycCtcfUniPk	0.813754	0.83322	0.705053	0.45958
wgEncodeAwgTfbsSydhGm12878Stat3IggmusUniPk	0.754561	0.738394	0.615884	0.381859
wgEncodeAwgTfbsSydhA549MaxIggrabUniPk	0.866763	0.862689	0.799448	0.613837
wgEncodeAwgTfbsUwGm06990CtcfUniPk	0.832867	0.850482	0.716087	0.498203
wgEncodeAwgTfbsBroadK562CtcfUniPk	0.804275	0.820281	0.675028	0.433128
wgEncodeAwgTfbsSydhHelas3Stat1Ifng30UniPk	0.762352	0.769308	0.660601	0.409875
wgEncodeAwgTfbsUtaK562CmycUniPk	0.849667	0.844579	0.781475	0.546842
wgEncodeAwgTfbsSydhHepg2CebpbForsklnUniPk	0.857346	0.844069	0.78101	0.591407
wgEncodeAwgTfbsHaibH1hescCtcfsc5916V0416102UniPk	0.851457	0.863598	0.727488	0.544428
wgEncodeAwgTfbsSydhK562Bhlhe40nb100IggrabUniPk	0.833701	0.817261	0.766134	0.535137
wgEncodeAwgTfbsSydhHelas3Stat3IggrabUniPk	0.749966	0.759094	0.626597	0.389893
wgEncodeAwgTfbsSydhHuvecGata2UcdUniPk	0.725617	0.741082	0.607279	0.338637
wgEncodeAwgTfbsHaibHepg2Mybl2sc81192V0422111UniPk	0.779752	0.773231	0.699077	0.412329
wgEncodeAwgTfbsSydhK562Stat1Ifna6hUniPk	0.794531	0.831917	0.617524	0.458875
wgEncodeAwgTfbsHaibGm12878Runx3sc101553V0422111UniPk	0.773095	0.763527	0.707097	0.406368
wgEncodeAwgTfbsBroadHsmmCtcfUniPk	0.835336	0.845085	0.708503	0.500671
wgEncodeAwgTfbsBroadHsmmtCtcfUniPk	0.822222	0.838923	0.717494	0.459088
wgEncodeAwgTfbsHaibGm12878Stat5asc74442V0422111UniPk	0.716727	0.715751	0.686437	0.310255
wgEncodeAwgTfbsHaibSknshNrsfPcr2xUniPk	0.773003	0.751684	0.724574	0.398274
