dataset	AUROC	AUPRC	F1	MCC
wgEncodeAwgTfbsSydhPbdeGata1UcdUniPk	0.710344	0.720305	0.604772	0.317493
wgEncodeAwgTfbsHaibEcc1CtcfcV0416102Dm002p1hUniPk	0.852552	0.870498	0.724118	0.547098
wgEncodeAwgTfbsSydhGm12878E2f4IggmusUniPk	0.878846	0.87062	0.808416	0.601681
wgEncodeAwgTfbsUtaMcf7CmycSerumstvdUniPk	0.796087	0.795469	0.664436	0.452441
wgEncodeAwgTfbsUtaH1hescCmycUniPk	0.784461	0.79381	0.608273	0.446912
wgEncodeAwgTfbsSydhH1hescNrf1IggrabUniPk	0.896471	0.879894	0.835601	0.664295
wgEncodeAwgTfbsSydhHelas3Usf2IggmusUniPk	0.836196	0.828168	0.734732	0.531981
wgEncodeAwgTfbsUwHct116CtcfUniPk	0.826923	0.846878	0.694545	0.494789
wgEncodeAwgTfbsSydhHepg2Srebp1InslnUniPk	0.854695	0.840478	0.759189	0.545807
wgEncodeAwgTfbsSydhMcf10aesCfosTam14hHvdUniPk	0.810739	0.796693	0.746521	0.516035
wgEncodeAwgTfbsUtaMcf7CtcfVehUniPk	0.829183	0.843815	0.719013	0.488304
wgEncodeAwgTfbsHaibK562CtcfcPcr1xUniPk	0.840098	0.852787	0.728985	0.510143
wgEncodeAwgTfbsUwHrpeCtcfUniPk	0.83831	0.855685	0.699676	0.509231
wgEncodeAwgTfbsUwHacCtcfUniPk	0.826215	0.839578	0.705668	0.477973
wgEncodeAwgTfbsUtaMcf7CtcfEstroUniPk	0.834642	0.851401	0.722652	0.519792
wgEncodeAwgTfbsSydhK562CmycIfna30UniPk	0.818709	0.81747	0.748193	0.48962
wgEncodeAwgTfbsUtaProgfibCtcfUniPk	0.849383	0.860012	0.73053	0.534535
wgEncodeAwgTfbsBroadH1hescCtcfUniPk	0.836488	0.848552	0.744865	0.476426
wgEncodeAwgTfbsSydhH1hescBach1sc14700IggrabUniPk	0.828767	0.816531	0.732832	0.502268
wgEncodeAwgTfbsSydhK562JundIggrabUniPk	0.805569	0.792862	0.72964	0.492726
wgEncodeAwgTfbsHaibGm12878Elf1sc631V0416101UniPk	0.788472	0.791687	0.668373	0.426852
wgEncodeAwgTfbsSydhK562CjunIfna6hUniPk	0.79807	0.816846	0.716586	0.436377
wgEncodeAwgTfbsHaibHepg2NrsfPcr2xUniPk	0.80183	0.816048	0.721883	0.450477
wgEncodeAwgTfbsHaibGm12878Atf3Pcr1xUniPk	0.910937	0.924839	0.824176	0.668769
wgEncodeAwgTfbsHaibGm12878Cebpbsc150V0422111UniPk	0.792841	0.816582	0.65824	0.463666
wgEncodeAwgTfbsHaibA549Ctcfsc5916Pcr1xEtoh02UniPk	0.852477	0.866955	0.738801	0.547018
wgEncodeAwgTfbsUwHuvecCtcfUniPk	0.838717	0.8499	0.716901	0.517232
wgEncodeAwgTfbsHaibH1hescSp2V0422111UniPk	0.919218	0.914137	0.834276	0.685351
