dataset	AUROC	AUPRC	F1	MCC
wgEncodeAwgTfbsSydhH1hescMafkIggrabUniPk	0.840119	0.860295	0.735795	0.540658
wgEncodeAwgTfbsUwWi38CtcfUniPk	0.823049	0.839702	0.670810	0.487807
wgEncodeAwgTfbsUtaGm12878CtcfUniPk	0.853829	0.868881	0.730748	0.557362
wgEncodeAwgTfbsHaibH1hescRxraV0416102UniPk	0.844598	0.846190	0.736842	0.502479
wgEncodeAwgTfbsUwGm12801CtcfUniPk	0.859130	0.875091	0.765226	0.527651
wgEncodeAwgTfbsSydhHuvecMaxUniPk	0.924258	0.926105	0.864349	0.734446
wgEncodeAwgTfbsSydhHepg2Tr4UcdUniPk	0.918197	0.929403	0.840131	0.672048
wgEncodeAwgTfbsHaibK562MaxV0416102UniPk	0.843371	0.833655	0.779953	0.565517
wgEncodeAwgTfbsSydhShsy5yGata3sc269sc269UcdUniPk	0.737211	0.745852	0.639629	0.353043
wgEncodeAwgTfbsHaibHepg2Foxa1sc101058V0416101UniPk	0.775499	0.771594	0.694693	0.424109
wgEncodeAwgTfbsUwHeeCtcfUniPk	0.829422	0.846037	0.715336	0.494515
wgEncodeAwgTfbsUwNhlfCtcfUniPk	0.824693	0.833364	0.709784	0.513532
wgEncodeAwgTfbsSydhImr90CebpbIggrabUniPk	0.850827	0.855488	0.786032	0.603778
wgEncodeAwgTfbsHaibH1hescSp1Pcr1xUniPk	0.887382	0.870713	0.823052	0.633998
wgEncodeAwgTfbsSydhHelas3MaxIggrabUniPk	0.854531	0.858305	0.776519	0.569844
wgEncodeAwgTfbsSydhHct116Tcf7l2UcdUniPk	0.748490	0.749595	0.623698	0.365888
wgEncodeAwgTfbsUwK562CtcfUniPk	0.826681	0.837134	0.712782	0.508387
wgEncodeAwgTfbsHaibSknshraUsf1sc8983V0416102UniPk	0.848744	0.841658	0.737579	0.551217
wgEncodeAwgTfbsUtaH1hescCtcfUniPk	0.849062	0.850529	0.759102	0.532887
wgEncodeAwgTfbsUwNb4CtcfUniPk	0.842360	0.852821	0.733553	0.530362
wgEncodeAwgTfbsSydhGm12878Nfe2sc22827UniPk	0.874735	0.922972	0.803419	0.666130
wgEncodeAwgTfbsUwAg09309CtcfUniPk	0.829266	0.827313	0.744303	0.505966
wgEncodeAwgTfbsUwHaspCtcfUniPk	0.833209	0.838604	0.741083	0.502512
wgEncodeAwgTfbsSydhK562Znf143IggrabUniPk	0.765594	0.777104	0.573887	0.364827
wgEncodeAwgTfbsHaibGm12878Usf1Pcr2xUniPk	0.861368	0.853985	0.781079	0.572749
wgEncodeAwgTfbsSydhImr90MafkIggrabUniPk	0.810835	0.837900	0.702357	0.517587
wgEncodeAwgTfbsSydhK562CmycIggrabUniPk	0.809047	0.805161	0.732242	0.482620
wgEncodeAwgTfbsSydhHepg2Mafkab50322IggrabUniPk	0.811498	0.851776	0.729423	0.553435
wgEncodeAwgTfbsHaibK562Usf1V0416101UniPk	0.854070	0.851309	0.777968	0.576900
wgEncodeAwgTfbsHaibHepg2RxraPcr1xUniPk	0.792715	0.801809	0.693447	0.439545
wgEncodeAwgTfbsSydhK562CmycIfng30UniPk	0.801209	0.801145	0.717444	0.460016
wgEncodeAwgTfbsHaibK562Sp1Pcr1xUniPk	0.914685	0.914215	0.844196	0.691382
wgEncodeAwgTfbsUtaHelas3CmycUniPk	0.869616	0.890817	0.770265	0.558837
wgEncodeAwgTfbsSydhK562E2f6UcdUniPk	0.850059	0.828225	0.781339	0.552311
wgEncodeAwgTfbsHaibGm12878Sp1Pcr1xUniPk	0.876755	0.856482	0.814752	0.622025
wgEncodeAwgTfbsHaibK562Thap1sc98174V0416101UniPk	0.895643	0.897026	0.804944	0.624023
wgEncodeAwgTfbsHaibHepg2Foxa2sc6554V0416101UniPk	0.775870	0.780329	0.654004	0.417955
wgEncodeAwgTfbsHaibT47dEraaV0416102Bpa1hUniPk	0.911207	0.927909	0.822526	0.667016
wgEncodeAwgTfbsUwGm12874CtcfUniPk	0.840697	0.852237	0.725128	0.518054
wgEncodeAwgTfbsSydhMcf10aesStat3Etoh01UniPk	0.829324	0.848050	0.736924	0.524821
