dataset	AUROC	AUPRC	F1	MCC
wgEncodeAwgTfbsSydhGm12878Ctcfsc15914c20UniPk	0.983311	0.980827	0.940106	0.881025
wgEncodeAwgTfbsSydhGm12878Chd2ab68301IggmusUniPk	0.844749	0.855379	0.742878	0.542262
wgEncodeAwgTfbsHaibHuvecPol2Pcr1xUniPk	0.810058	0.808142	0.728921	0.476006
wgEncodeAwgTfbsBroadK562Chd1a301218aUniPk	0.748727	0.733942	0.701557	0.372148
wgEncodeAwgTfbsHaibH1hescSp4v20V0422111UniPk	0.821918	0.824338	0.725905	0.488856
wgEncodeAwgTfbsSydhH1hescSuz12UcdUniPk	0.772301	0.774127	0.646283	0.384082
wgEncodeAwgTfbsSydhGm12878Pol2s2IggmusUniPk	0.774838	0.781766	0.687518	0.404616
wgEncodeAwgTfbsHaibA549Usf1Pcr1xEtoh02UniPk	0.942532	0.951196	0.874074	0.766340
wgEncodeAwgTfbsHaibGm12891Pax5c20V0416101UniPk	0.894278	0.904957	0.818598	0.623640
wgEncodeAwgTfbsBroadK562Sap3039731UniPk	0.779917	0.772751	0.700726	0.423618
wgEncodeAwgTfbsHaibK562Yy1V0416101UniPk	0.898332	0.904621	0.809534	0.626449
wgEncodeAwgTfbsHaibSknshraYy1sc281V0416102UniPk	0.894029	0.900690	0.808652	0.624082
wgEncodeAwgTfbsSydhHepg2Arid3anb100279IggrabUniPk	0.878790	0.877064	0.785604	0.603672
wgEncodeAwgTfbsSydhHelas3E2f6UniPk	0.829452	0.835335	0.741774	0.504697
wgEncodeAwgTfbsSydhK562Setdb1MnasedUcdUniPk	0.760809	0.795014	0.616314	0.381502
wgEncodeAwgTfbsSydhK562Kap1UcdUniPk	0.867996	0.891562	0.743169	0.586381
wgEncodeAwgTfbsHaibGm12891Yy1sc281V0416101UniPk	0.893034	0.905537	0.804231	0.635711
wgEncodeAwgTfbsSydhHek293Pol2UniPk	0.819230	0.834354	0.744373	0.486074
wgEncodeAwgTfbsHaibHelas3Pol2Pcr1xUniPk	0.807342	0.805746	0.716099	0.463735
wgEncodeAwgTfbsSydhHelas3Zkscan1hpa006672IggrabUniPk	0.852745	0.878172	0.764522	0.539265
wgEncodeAwgTfbsSydhK562Tblr1nb600270IggrabUniPk	0.901265	0.914258	0.820529	0.652319
wgEncodeAwgTfbsHaibK562Elf1sc631V0416102UniPk	0.942866	0.939405	0.876877	0.758109
wgEncodeAwgTfbsHaibHepg2Rad21V0416101UniPk	0.962679	0.964065	0.911338	0.831434
wgEncodeAwgTfbsUtaH1hescPol2UniPk	0.818252	0.824406	0.740755	0.475224
wgEncodeAwgTfbsHaibA549Elf1V0422111Etoh02UniPk	0.891622	0.901019	0.806244	0.623775
wgEncodeAwgTfbsHaibH1hescUsf1Pcr1xUniPk	0.979602	0.975614	0.941476	0.888298
wgEncodeAwgTfbsHaibA549Usf1V0422111Etoh02UniPk	0.920980	0.933605	0.841242	0.727595
wgEncodeAwgTfbsBroadK562P300UniPk	0.798630	0.829480	0.662750	0.488137
wgEncodeAwgTfbsHaibK562Tead4sc101184V0422111UniPk	0.916093	0.918078	0.840109	0.679349
wgEncodeAwgTfbsHaibA549Usf1Pcr1xDex100nmUniPk	0.907901	0.922481	0.825027	0.656173
wgEncodeAwgTfbsBroadK562Ezh239875UniPk	0.706624	0.651027	0.668348	0.275717
wgEncodeAwgTfbsHaibH1hescBcl11aPcr1xUniPk	0.894953	0.900264	0.803778	0.623728
wgEncodeAwgTfbsHaibGm12878Pol2Pcr2xUniPk	0.783111	0.783918	0.726212	0.395688
wgEncodeAwgTfbsSydhGm12878P300bUniPk	0.927617	0.931565	0.837522	0.704729
wgEncodeAwgTfbsHaibGm12892Yy1V0416101UniPk	0.913120	0.922598	0.809466	0.655477
wgEncodeAwgTfbsSydhK562CjunIfna30UniPk	0.932114	0.942693	0.857143	0.737748
wgEncodeAwgTfbsBroadHmecCtcfUniPk	0.980614	0.977872	0.947680	0.894630
wgEncodeAwgTfbsHaibPanc1NrsfPcr2xUniPk	0.917870	0.933042	0.822292	0.701906
wgEncodeAwgTfbsSydhH1hescUsf2IggrabUniPk	0.953624	0.962756	0.908886	0.824002
wgEncodeAwgTfbsSydhK562Hmgn3UniPk	0.826716	0.828943	0.754477	0.489491
wgEncodeAwgTfbsSydhPbdeGata1UcdUniPk	0.863096	0.878637	0.776545	0.591659
wgEncodeAwgTfbsHaibEcc1CtcfcV0416102Dm002p1hUniPk	0.987605	0.989596	0.962988	0.926515
wgEncodeAwgTfbsSydhGm12878E2f4IggmusUniPk	0.837234	0.846828	0.684783	0.509091
wgEncodeAwgTfbsSydhGm12878WhipIggmusUniPk	0.755899	0.763785	0.652174	0.382021
wgEncodeAwgTfbsSydhHepg2Smc3ab9263IggrabUniPk	0.955514	0.961641	0.897991	0.811058
wgEncodeAwgTfbsUtaMcf7CmycSerumstvdUniPk	0.813156	0.813597	0.727206	0.464479
wgEncodeAwgTfbsSydhK562Ccnt2UniPk	0.843998	0.849959	0.752230	0.527536
wgEncodeAwgTfbsUtaH1hescCmycUniPk	0.701602	0.724655	0.581281	0.313436
wgEncodeAwgTfbsSydhH1hescNrf1IggrabUniPk	0.942163	0.950540	0.867769	0.749955
wgEncodeAwgTfbsSydhHepg2Mazab85725IggrabUniPk	0.853003	0.863450	0.759736	0.566805
wgEncodeAwgTfbsSydhHelas3Usf2IggmusUniPk	0.926939	0.931543	0.859143	0.715186
wgEncodeAwgTfbsUwHct116CtcfUniPk	0.978964	0.975263	0.944576	0.890005
wgEncodeAwgTfbsSydhHepg2Srebp1InslnUniPk	0.851633	0.872958	0.768664	0.512557
wgEncodeAwgTfbsSydhMcf10aesCfosTam14hHvdUniPk	0.967082	0.960635	0.912167	0.822738
wgEncodeAwgTfbsUtaMcf7CtcfVehUniPk	0.972841	0.968513	0.928853	0.860689
wgEncodeAwgTfbsHaibK562Rad21V0416102UniPk	0.979384	0.977298	0.935137	0.872484
wgEncodeAwgTfbsHaibK562CtcfcPcr1xUniPk	0.979003	0.975390	0.936472	0.874468
wgEncodeAwgTfbsBroadK562Rbbp5a300109aUniPk	0.773295	0.768425	0.728272	0.409779
wgEncodeAwgTfbsUwHrpeCtcfUniPk	0.981559	0.979002	0.940902	0.882084
wgEncodeAwgTfbsUwHacCtcfUniPk	0.973638	0.975164	0.926000	0.852725
wgEncodeAwgTfbsUtaMcf7CtcfEstroUniPk	0.969607	0.961210	0.930177	0.858834
wgEncodeAwgTfbsSydhK562CmycIfna30UniPk	0.844751	0.837469	0.733187	0.527703
wgEncodeAwgTfbsHaibGm12878Mta3sc81325V0422111UniPk	0.841633	0.847636	0.758147	0.535916
wgEncodeAwgTfbsUtaProgfibCtcfUniPk	0.974588	0.975990	0.929105	0.862688
wgEncodeAwgTfbsBroadH1hescCtcfUniPk	0.976948	0.972581	0.935008	0.872781
wgEncodeAwgTfbsSydhGm18526Pol2IggmusUniPk	0.808395	0.815646	0.692497	0.462358
wgEncodeAwgTfbsHaibSknshTaf1V0416101UniPk	0.857848	0.856375	0.775465	0.558822
