dataset	AUROC	AUPRC	F1	MCC
wgEncodeAwgTfbsSydhH1hescMafkIggrabUniPk	0.974368	0.978138	0.933738	0.874768
wgEncodeAwgTfbsUwWi38CtcfUniPk	0.967400	0.973556	0.917590	0.839259
wgEncodeAwgTfbsSydhGm12878Tblr1ab24550IggmusUniPk	0.833083	0.841030	0.747622	0.495620
wgEncodeAwgTfbsUtaGm12878CtcfUniPk	0.980006	0.980138	0.934992	0.872522
wgEncodeAwgTfbsHaibH1hescRxraV0416102UniPk	0.769083	0.806168	0.716190	0.422567
wgEncodeAwgTfbsHaibPfsk1Sin3ak20V0416101UniPk	0.846906	0.856070	0.750224	0.530223
wgEncodeAwgTfbsSydhGm12878Mazab85725IggmusUniPk	0.849230	0.857703	0.763369	0.540470
wgEncodeAwgTfbsUwGm12801CtcfUniPk	0.989201	0.989084	0.955250	0.909715
wgEncodeAwgTfbsSydhHuvecMaxUniPk	0.934498	0.937892	0.856647	0.726290
wgEncodeAwgTfbsSydhK562Sirt6UniPk	0.873986	0.889731	0.771290	0.588463
wgEncodeAwgTfbsHaibGm12878Bcl11aPcr1xUniPk	0.926802	0.929354	0.851242	0.695450
wgEncodeAwgTfbsSydhHepg2Tr4UcdUniPk	0.881786	0.902814	0.802880	0.631513
wgEncodeAwgTfbsBroadHelas3Pol2bUniPk	0.728931	0.718055	0.682967	0.348987
wgEncodeAwgTfbsHaibK562MaxV0416102UniPk	0.878086	0.883771	0.786652	0.596499
wgEncodeAwgTfbsSydhShsy5yGata3sc269sc269UcdUniPk	0.889533	0.894985	0.801959	0.612324
wgEncodeAwgTfbsHaibHepg2Foxa1sc101058V0416101UniPk	0.945880	0.942953	0.877178	0.757562
wgEncodeAwgTfbsSydhHelas3Brg1IggmusUniPk	0.686884	0.632796	0.610909	0.220852
wgEncodeAwgTfbsUwHeeCtcfUniPk	0.968704	0.964341	0.922028	0.842817
wgEncodeAwgTfbsUwNhlfCtcfUniPk	0.966579	0.972366	0.915257	0.833978
wgEncodeAwgTfbsSydhK562Rpc155UniPk	0.920405	0.945924	0.847534	0.760363
wgEncodeAwgTfbsSydhImr90CebpbIggrabUniPk	0.963188	0.951391	0.911709	0.820270
wgEncodeAwgTfbsHaibH1hescSp1Pcr1xUniPk	0.886032	0.895227	0.784292	0.606426
wgEncodeAwgTfbsHaibH1hescGabpPcr1xUniPk	0.907607	0.916171	0.811909	0.648120
wgEncodeAwgTfbsSydhMcf10aesPol2Etoh01UniPk	0.788189	0.789186	0.711117	0.421066
wgEncodeAwgTfbsSydhHelas3MaxIggrabUniPk	0.859043	0.865059	0.755150	0.555473
wgEncodeAwgTfbsSydhHct116Tcf7l2UcdUniPk	0.885249	0.892597	0.805273	0.609027
wgEncodeAwgTfbsUwK562CtcfUniPk	0.977649	0.978833	0.929066	0.859635
wgEncodeAwgTfbsHaibSknshraUsf1sc8983V0416102UniPk	0.969348	0.969584	0.913328	0.827735
wgEncodeAwgTfbsUtaH1hescCtcfUniPk	0.969776	0.970360	0.914043	0.827846
wgEncodeAwgTfbsUwNb4CtcfUniPk	0.984651	0.984869	0.941394	0.885510
wgEncodeAwgTfbsSydhK562Pol2s2UniPk	0.634114	0.641669	0.579710	0.184314
wgEncodeAwgTfbsSydhGm12878Nfe2sc22827UniPk	0.941515	0.957387	0.911661	0.838806
wgEncodeAwgTfbsUwAg09309CtcfUniPk	0.977044	0.978726	0.928036	0.859715
wgEncodeAwgTfbsUwHaspCtcfUniPk	0.978089	0.974886	0.933348	0.868348
wgEncodeAwgTfbsSydhK562Znf143IggrabUniPk	0.951119	0.959715	0.887741	0.784314
wgEncodeAwgTfbsHaibGm12878Usf1Pcr2xUniPk	0.954230	0.956512	0.881756	0.777875
wgEncodeAwgTfbsSydhK562Brf2UniPk	0.629105	0.662439	0.561905	0.157820
wgEncodeAwgTfbsSydhA549Pol2s2IggrabUniPk	0.662059	0.672232	0.589172	0.228450
wgEncodeAwgTfbsSydhImr90MafkIggrabUniPk	0.978064	0.976104	0.936814	0.875444
wgEncodeAwgTfbsSydhK562Setdb1UcdUniPk	0.853862	0.870940	0.706605	0.520964
wgEncodeAwgTfbsBroadK562Hdac2a300705aUniPk	0.772914	0.781718	0.686770	0.386061
wgEncodeAwgTfbsSydhK562CmycIggrabUniPk	0.883322	0.887752	0.795143	0.609199
wgEncodeAwgTfbsSydhGm19099Pol2IggmusUniPk	0.786711	0.791973	0.705505	0.406048
wgEncodeAwgTfbsSydhHepg2Mafkab50322IggrabUniPk	0.985183	0.979366	0.965274	0.930087
wgEncodeAwgTfbsHaibK562Usf1V0416101UniPk	0.966118	0.968531	0.913228	0.831898
wgEncodeAwgTfbsHaibGm12891Taf1Pcr1xUniPk	0.825937	0.839495	0.755574	0.500792
wgEncodeAwgTfbsHaibHepg2RxraPcr1xUniPk	0.896012	0.901629	0.819613	0.642209
wgEncodeAwgTfbsSydhK562CmycIfng30UniPk	0.882779	0.893409	0.798465	0.613449
wgEncodeAwgTfbsHaibK562Sp1Pcr1xUniPk	0.894073	0.903574	0.796501	0.628279
wgEncodeAwgTfbsUtaHelas3CmycUniPk	0.867682	0.874189	0.770571	0.579218
wgEncodeAwgTfbsHaibGm12878Atf2sc81188V0422111UniPk	0.885667	0.891792	0.779391	0.602041
wgEncodeAwgTfbsSydhK562E2f6UcdUniPk	0.852232	0.856862	0.765930	0.541916
wgEncodeAwgTfbsHaibGm12878Sp1Pcr1xUniPk	0.895535	0.901061	0.816476	0.634502
wgEncodeAwgTfbsSydhK562P300IggrabUniPk	0.914654	0.920887	0.837266	0.682399
wgEncodeAwgTfbsHaibK562Thap1sc98174V0416101UniPk	0.855012	0.860829	0.765601	0.550821
wgEncodeAwgTfbsHaibHepg2Foxa2sc6554V0416101UniPk	0.952393	0.952513	0.886219	0.777593
wgEncodeAwgTfbsHaibT47dEraaV0416102Bpa1hUniPk	0.897363	0.892827	0.797112	0.631590
wgEncodeAwgTfbsSydhGm08714Znf274UcdUniPk	0.945455	0.957500	0.870466	0.783831
wgEncodeAwgTfbsUwGm12874CtcfUniPk	0.978250	0.977237	0.933688	0.870672
wgEncodeAwgTfbsSydhMcf10aesStat3Etoh01UniPk	0.940681	0.942981	0.857759	0.728864
wgEncodeAwgTfbsHaibGm12878Pbx3Pcr1xUniPk	0.909149	0.914539	0.827875	0.663650
wgEncodeAwgTfbsSydhGm12878Ctcfsc15914c20UniPk	0.973919	0.972804	0.921855	0.850146
wgEncodeAwgTfbsSydhGm12878Chd2ab68301IggmusUniPk	0.856050	0.865062	0.770458	0.556882
