dataset	AUROC	AUPRC	F1	MCC
wgEncodeAwgTfbsSydhH1hescMafkIggrabUniPk	0.975973	0.979367	0.933917	0.872302
wgEncodeAwgTfbsUwWi38CtcfUniPk	0.966688	0.970668	0.920386	0.842493
wgEncodeAwgTfbsSydhGm12878Tblr1ab24550IggmusUniPk	0.835764	0.843961	0.754267	0.501130
wgEncodeAwgTfbsUtaGm12878CtcfUniPk	0.983019	0.982989	0.942132	0.884558
wgEncodeAwgTfbsHaibH1hescRxraV0416102UniPk	0.788241	0.794941	0.680672	0.424229
wgEncodeAwgTfbsHaibPfsk1Sin3ak20V0416101UniPk	0.850668	0.855898	0.765976	0.551608
wgEncodeAwgTfbsSydhGm12878Mazab85725IggmusUniPk	0.850914	0.859154	0.767765	0.540286
wgEncodeAwgTfbsUwGm12801CtcfUniPk	0.991702	0.991264	0.959237	0.918520
wgEncodeAwgTfbsSydhHuvecMaxUniPk	0.928333	0.931668	0.847608	0.695827
wgEncodeAwgTfbsSydhK562Sirt6UniPk	0.872348	0.887739	0.786845	0.617705
wgEncodeAwgTfbsHaibGm12878Bcl11aPcr1xUniPk	0.928131	0.930919	0.857741	0.708652
wgEncodeAwgTfbsSydhHepg2Tr4UcdUniPk	0.871773	0.890218	0.787879	0.596720
wgEncodeAwgTfbsBroadHelas3Pol2bUniPk	0.730494	0.732897	0.655319	0.322765
wgEncodeAwgTfbsHaibK562MaxV0416102UniPk	0.884920	0.890215	0.805737	0.606679
wgEncodeAwgTfbsSydhShsy5yGata3sc269sc269UcdUniPk	0.888044	0.895298	0.793640	0.620263
wgEncodeAwgTfbsHaibHepg2Foxa1sc101058V0416101UniPk	0.949408	0.947881	0.880155	0.765912
wgEncodeAwgTfbsSydhHelas3Brg1IggmusUniPk	0.651139	0.596382	0.568507	0.202790
wgEncodeAwgTfbsUwHeeCtcfUniPk	0.975781	0.978818	0.930813	0.861346
wgEncodeAwgTfbsUwNhlfCtcfUniPk	0.963475	0.968316	0.918573	0.845169
wgEncodeAwgTfbsSydhK562Rpc155UniPk	0.921829	0.945487	0.842572	0.744015
wgEncodeAwgTfbsSydhImr90CebpbIggrabUniPk	0.968194	0.962004	0.915253	0.829582
wgEncodeAwgTfbsHaibH1hescSp1Pcr1xUniPk	0.883035	0.893508	0.797708	0.606461
wgEncodeAwgTfbsHaibH1hescGabpPcr1xUniPk	0.904365	0.913853	0.816384	0.654848
wgEncodeAwgTfbsSydhMcf10aesPol2Etoh01UniPk	0.795456	0.792919	0.715817	0.453146
wgEncodeAwgTfbsSydhHelas3MaxIggrabUniPk	0.859855	0.865386	0.780513	0.551705
wgEncodeAwgTfbsSydhHct116Tcf7l2UcdUniPk	0.889948	0.899141	0.807018	0.627107
wgEncodeAwgTfbsUwK562CtcfUniPk	0.979638	0.980247	0.934153	0.869938
wgEncodeAwgTfbsHaibSknshraUsf1sc8983V0416102UniPk	0.969886	0.969026	0.912341	0.826636
wgEncodeAwgTfbsUtaH1hescCtcfUniPk	0.972631	0.972068	0.917502	0.836811
wgEncodeAwgTfbsUwNb4CtcfUniPk	0.979988	0.979484	0.945573	0.889590
wgEncodeAwgTfbsSydhK562Pol2s2UniPk	0.662650	0.675345	0.613610	0.217093
wgEncodeAwgTfbsSydhGm12878Nfe2sc22827UniPk	0.956158	0.963518	0.903915	0.826646
wgEncodeAwgTfbsUwAg09309CtcfUniPk	0.978181	0.978843	0.934458	0.868316
wgEncodeAwgTfbsUwHaspCtcfUniPk	0.976188	0.971508	0.938072	0.876979
wgEncodeAwgTfbsSydhK562Znf143IggrabUniPk	0.951142	0.959893	0.888384	0.786810
wgEncodeAwgTfbsHaibGm12878Usf1Pcr2xUniPk	0.951305	0.952957	0.882240	0.778989
wgEncodeAwgTfbsSydhK562Brf2UniPk	0.641059	0.677417	0.606481	0.220004
wgEncodeAwgTfbsSydhA549Pol2s2IggrabUniPk	0.708775	0.738209	0.632000	0.315131
wgEncodeAwgTfbsSydhImr90MafkIggrabUniPk	0.974314	0.973409	0.936534	0.872177
wgEncodeAwgTfbsSydhK562Setdb1UcdUniPk	0.845664	0.864909	0.742025	0.515512
wgEncodeAwgTfbsBroadK562Hdac2a300705aUniPk	0.771941	0.779915	0.664297	0.372849
wgEncodeAwgTfbsSydhK562CmycIggrabUniPk	0.884449	0.888583	0.806336	0.611775
wgEncodeAwgTfbsSydhGm19099Pol2IggmusUniPk	0.793799	0.797570	0.717389	0.430219
wgEncodeAwgTfbsSydhHepg2Mafkab50322IggrabUniPk	0.988605	0.984595	0.965823	0.931167
wgEncodeAwgTfbsHaibK562Usf1V0416101UniPk	0.960277	0.960966	0.907340	0.817341
wgEncodeAwgTfbsHaibGm12891Taf1Pcr1xUniPk	0.826969	0.838386	0.754961	0.496244
wgEncodeAwgTfbsHaibHepg2RxraPcr1xUniPk	0.909429	0.913533	0.830109	0.663028
wgEncodeAwgTfbsSydhK562CmycIfng30UniPk	0.883605	0.886372	0.802906	0.607773
wgEncodeAwgTfbsHaibK562Sp1Pcr1xUniPk	0.899826	0.912440	0.811874	0.644637
wgEncodeAwgTfbsUtaHelas3CmycUniPk	0.870332	0.869185	0.771564	0.569261
wgEncodeAwgTfbsHaibGm12878Atf2sc81188V0422111UniPk	0.891979	0.899168	0.813278	0.625745
wgEncodeAwgTfbsSydhK562E2f6UcdUniPk	0.850874	0.852888	0.753473	0.532293
wgEncodeAwgTfbsHaibGm12878Sp1Pcr1xUniPk	0.895459	0.901923	0.805614	0.638350
wgEncodeAwgTfbsSydhK562P300IggrabUniPk	0.905113	0.903179	0.828354	0.671865
wgEncodeAwgTfbsHaibK562Thap1sc98174V0416101UniPk	0.845172	0.847438	0.745004	0.535395
wgEncodeAwgTfbsHaibHepg2Foxa2sc6554V0416101UniPk	0.953424	0.954372	0.890059	0.778742
wgEncodeAwgTfbsHaibT47dEraaV0416102Bpa1hUniPk	0.888722	0.893243	0.802539	0.632152
wgEncodeAwgTfbsSydhGm08714Znf274UcdUniPk	0.953441	0.961062	0.864583	0.775864
wgEncodeAwgTfbsUwGm12874CtcfUniPk	0.975879	0.976816	0.934323	0.871712
wgEncodeAwgTfbsSydhMcf10aesStat3Etoh01UniPk	0.941418	0.943432	0.866750	0.735012
wgEncodeAwgTfbsHaibGm12878Pbx3Pcr1xUniPk	0.908677	0.911506	0.830544	0.668126
wgEncodeAwgTfbsSydhGm12878Ctcfsc15914c20UniPk	0.978655	0.976092	0.931766	0.864860
wgEncodeAwgTfbsSydhGm12878Chd2ab68301IggmusUniPk	0.860147	0.869718	0.769494	0.559650
wgEncodeAwgTfbsHaibHuvecPol2Pcr1xUniPk	0.802170	0.793248	0.733093	0.451315
wgEncodeAwgTfbsBroadK562Chd1a301218aUniPk	0.745034	0.731533	0.667045	0.363355
wgEncodeAwgTfbsHaibH1hescSp4v20V0422111UniPk	0.814215	0.816432	0.707648	0.471992
wgEncodeAwgTfbsSydhH1hescSuz12UcdUniPk	0.799207	0.802274	0.716062	0.422550
wgEncodeAwgTfbsSydhGm12878Pol2s2IggmusUniPk	0.784190	0.796372	0.701822	0.412815
wgEncodeAwgTfbsHaibA549Usf1Pcr1xEtoh02UniPk	0.946441	0.954100	0.880530	0.761217
wgEncodeAwgTfbsHaibGm12891Pax5c20V0416101UniPk	0.876043	0.885909	0.785773	0.584039
wgEncodeAwgTfbsBroadK562Sap3039731UniPk	0.793679	0.788900	0.726115	0.442359
wgEncodeAwgTfbsHaibK562Yy1V0416101UniPk	0.906588	0.913887	0.815489	0.646027
wgEncodeAwgTfbsHaibSknshraYy1sc281V0416102UniPk	0.895038	0.905904	0.795159	0.633072
wgEncodeAwgTfbsSydhHepg2Arid3anb100279IggrabUniPk	0.881453	0.886246	0.792649	0.612689
wgEncodeAwgTfbsSydhHelas3E2f6UniPk	0.833721	0.836502	0.741379	0.486808
wgEncodeAwgTfbsSydhK562Setdb1MnasedUcdUniPk	0.752090	0.793094	0.659150	0.335132
wgEncodeAwgTfbsSydhK562Kap1UcdUniPk	0.875851	0.901641	0.776542	0.593091
wgEncodeAwgTfbsHaibGm12891Yy1sc281V0416101UniPk	0.899447	0.912198	0.810821	0.639554
wgEncodeAwgTfbsSydhHek293Pol2UniPk	0.824117	0.834176	0.743779	0.488238
wgEncodeAwgTfbsHaibHelas3Pol2Pcr1xUniPk	0.801155	0.800651	0.742003	0.434131
wgEncodeAwgTfbsSydhHelas3Zkscan1hpa006672IggrabUniPk	0.850664	0.878254	0.747554	0.534538
wgEncodeAwgTfbsSydhK562Tblr1nb600270IggrabUniPk	0.904870	0.917011	0.824037	0.660465
wgEncodeAwgTfbsHaibK562Elf1sc631V0416102UniPk	0.940596	0.937232	0.874593	0.759489
wgEncodeAwgTfbsHaibHepg2Rad21V0416101UniPk	0.962770	0.968190	0.907581	0.824751
wgEncodeAwgTfbsUtaH1hescPol2UniPk	0.810879	0.815704	0.726350	0.465922
wgEncodeAwgTfbsHaibA549Elf1V0422111Etoh02UniPk	0.890863	0.901933	0.802353	0.603230
wgEncodeAwgTfbsHaibH1hescUsf1Pcr1xUniPk	0.976787	0.974974	0.941082	0.885725
wgEncodeAwgTfbsHaibA549Usf1V0422111Etoh02UniPk	0.936971	0.943801	0.849770	0.738479
wgEncodeAwgTfbsBroadK562P300UniPk	0.783008	0.813844	0.613300	0.448594
wgEncodeAwgTfbsHaibK562Tead4sc101184V0422111UniPk	0.915906	0.922440	0.820029	0.673154
wgEncodeAwgTfbsHaibA549Usf1Pcr1xDex100nmUniPk	0.913299	0.926040	0.835062	0.668860
wgEncodeAwgTfbsBroadK562Ezh239875UniPk	0.695726	0.640026	0.621329	0.271315
wgEncodeAwgTfbsHaibH1hescBcl11aPcr1xUniPk	0.873833	0.882675	0.773526	0.558039
wgEncodeAwgTfbsHaibGm12878Pol2Pcr2xUniPk	0.785723	0.782793	0.726189	0.419437
wgEncodeAwgTfbsSydhGm12878P300bUniPk	0.927059	0.930851	0.842334	0.701863
wgEncodeAwgTfbsHaibGm12892Yy1V0416101UniPk	0.915941	0.924509	0.838924	0.671014
wgEncodeAwgTfbsSydhK562CjunIfna30UniPk	0.930568	0.942897	0.851655	0.713522
wgEncodeAwgTfbsBroadHmecCtcfUniPk	0.983052	0.985592	0.944765	0.889674
wgEncodeAwgTfbsHaibPanc1NrsfPcr2xUniPk	0.920586	0.935931	0.835926	0.702618
wgEncodeAwgTfbsSydhH1hescUsf2IggrabUniPk	0.961008	0.968819	0.909699	0.823107
wgEncodeAwgTfbsSydhK562Hmgn3UniPk	0.829631	0.836993	0.740807	0.491172
wgEncodeAwgTfbsSydhPbdeGata1UcdUniPk	0.871048	0.878321	0.773745	0.591654
wgEncodeAwgTfbsHaibEcc1CtcfcV0416102Dm002p1hUniPk	0.988131	0.990269	0.959437	0.920062
wgEncodeAwgTfbsSydhGm12878E2f4IggmusUniPk	0.850487	0.861318	0.750000	0.509101
wgEncodeAwgTfbsSydhGm12878WhipIggmusUniPk	0.740051	0.739286	0.659821	0.345105
wgEncodeAwgTfbsSydhHepg2Smc3ab9263IggrabUniPk	0.952205	0.960635	0.885156	0.793432
wgEncodeAwgTfbsUtaMcf7CmycSerumstvdUniPk	0.813801	0.814064	0.738061	0.475198
wgEncodeAwgTfbsSydhK562Ccnt2UniPk	0.849207	0.854109	0.774584	0.534345
wgEncodeAwgTfbsUtaH1hescCmycUniPk	0.649378	0.651766	0.591093	0.167438
wgEncodeAwgTfbsSydhH1hescNrf1IggrabUniPk	0.942966	0.954164	0.877214	0.768302
wgEncodeAwgTfbsSydhHepg2Mazab85725IggrabUniPk	0.872768	0.881070	0.786569	0.575281
wgEncodeAwgTfbsSydhHelas3Usf2IggmusUniPk	0.927588	0.935121	0.855532	0.711976
wgEncodeAwgTfbsUwHct116CtcfUniPk	0.973748	0.969986	0.931887	0.866197
