dataset	AUROC	AUPRC	F1	MCC
wgEncodeAwgTfbsSydhGm12878Ctcfsc15914c20UniPk	0.976967	0.971209	0.939328	0.879871
wgEncodeAwgTfbsSydhGm12878Chd2ab68301IggmusUniPk	0.858845	0.867386	0.773128	0.545086
wgEncodeAwgTfbsHaibHuvecPol2Pcr1xUniPk	0.815963	0.814046	0.714652	0.470624
wgEncodeAwgTfbsBroadK562Chd1a301218aUniPk	0.765998	0.762099	0.708944	0.383127
wgEncodeAwgTfbsHaibH1hescSp4v20V0422111UniPk	0.839565	0.838381	0.745370	0.517507
wgEncodeAwgTfbsSydhH1hescSuz12UcdUniPk	0.808781	0.812709	0.699942	0.458483
wgEncodeAwgTfbsSydhGm12878Pol2s2IggmusUniPk	0.791337	0.793945	0.698680	0.417741
wgEncodeAwgTfbsHaibA549Usf1Pcr1xEtoh02UniPk	0.939819	0.951270	0.872021	0.755324
wgEncodeAwgTfbsHaibGm12891Pax5c20V0416101UniPk	0.915328	0.923932	0.827692	0.644674
wgEncodeAwgTfbsBroadK562Sap3039731UniPk	0.805410	0.799447	0.697237	0.456057
wgEncodeAwgTfbsHaibK562Yy1V0416101UniPk	0.912372	0.917843	0.822855	0.661707
wgEncodeAwgTfbsHaibSknshraYy1sc281V0416102UniPk	0.895480	0.903039	0.808929	0.625139
wgEncodeAwgTfbsSydhHepg2Arid3anb100279IggrabUniPk	0.883367	0.885210	0.803103	0.601242
wgEncodeAwgTfbsSydhHelas3E2f6UniPk	0.843844	0.846091	0.730539	0.525109
wgEncodeAwgTfbsSydhK562Setdb1MnasedUcdUniPk	0.765639	0.806994	0.695431	0.389633
wgEncodeAwgTfbsSydhK562Kap1UcdUniPk	0.873011	0.899065	0.771984	0.591491
wgEncodeAwgTfbsHaibGm12891Yy1sc281V0416101UniPk	0.905761	0.916518	0.816690	0.654895
wgEncodeAwgTfbsSydhHek293Pol2UniPk	0.834470	0.841651	0.765463	0.502139
wgEncodeAwgTfbsHaibHelas3Pol2Pcr1xUniPk	0.816095	0.816774	0.738441	0.469944
wgEncodeAwgTfbsSydhHelas3Zkscan1hpa006672IggrabUniPk	0.854807	0.878763	0.746667	0.548491
wgEncodeAwgTfbsSydhK562Tblr1nb600270IggrabUniPk	0.909009	0.921035	0.827168	0.659392
wgEncodeAwgTfbsHaibK562Elf1sc631V0416102UniPk	0.940736	0.929567	0.881558	0.769062
wgEncodeAwgTfbsHaibHepg2Rad21V0416101UniPk	0.961112	0.961124	0.917933	0.839245
wgEncodeAwgTfbsUtaH1hescPol2UniPk	0.828519	0.831454	0.738070	0.503483
wgEncodeAwgTfbsHaibA549Elf1V0422111Etoh02UniPk	0.888252	0.900598	0.811969	0.645692
wgEncodeAwgTfbsHaibH1hescUsf1Pcr1xUniPk	0.974673	0.964903	0.941351	0.883820
wgEncodeAwgTfbsHaibA549Usf1V0422111Etoh02UniPk	0.927615	0.935488	0.846311	0.716446
wgEncodeAwgTfbsBroadK562P300UniPk	0.791661	0.819237	0.704365	0.434344
wgEncodeAwgTfbsHaibK562Tead4sc101184V0422111UniPk	0.915939	0.918460	0.840447	0.689279
wgEncodeAwgTfbsHaibA549Usf1Pcr1xDex100nmUniPk	0.912848	0.924242	0.832942	0.667426
wgEncodeAwgTfbsBroadK562Ezh239875UniPk	0.710248	0.642568	0.662808	0.319121
wgEncodeAwgTfbsHaibH1hescBcl11aPcr1xUniPk	0.895594	0.904481	0.816244	0.634349
wgEncodeAwgTfbsHaibGm12878Pol2Pcr2xUniPk	0.804551	0.806295	0.742136	0.448382
wgEncodeAwgTfbsSydhGm12878P300bUniPk	0.930205	0.931869	0.855802	0.721021
wgEncodeAwgTfbsHaibGm12892Yy1V0416101UniPk	0.918843	0.926842	0.848117	0.692651
wgEncodeAwgTfbsSydhK562CjunIfna30UniPk	0.930630	0.943123	0.848578	0.728804
wgEncodeAwgTfbsBroadHmecCtcfUniPk	0.980665	0.981050	0.948413	0.899237
wgEncodeAwgTfbsHaibPanc1NrsfPcr2xUniPk	0.928813	0.941888	0.854207	0.726452
wgEncodeAwgTfbsSydhH1hescUsf2IggrabUniPk	0.956481	0.964641	0.890710	0.803648
wgEncodeAwgTfbsSydhK562Hmgn3UniPk	0.833297	0.834941	0.745902	0.502832
wgEncodeAwgTfbsSydhPbdeGata1UcdUniPk	0.874685	0.874416	0.790326	0.597559
wgEncodeAwgTfbsHaibEcc1CtcfcV0416102Dm002p1hUniPk	0.986525	0.987027	0.962241	0.924686
wgEncodeAwgTfbsSydhGm12878E2f4IggmusUniPk	0.870994	0.877405	0.772986	0.591722
wgEncodeAwgTfbsSydhGm12878WhipIggmusUniPk	0.758519	0.763078	0.672879	0.383910
wgEncodeAwgTfbsSydhHepg2Smc3ab9263IggrabUniPk	0.951941	0.961616	0.893427	0.805414
wgEncodeAwgTfbsUtaMcf7CmycSerumstvdUniPk	0.834352	0.836316	0.754244	0.517416
wgEncodeAwgTfbsSydhK562Ccnt2UniPk	0.854408	0.859050	0.740363	0.545069
wgEncodeAwgTfbsUtaH1hescCmycUniPk	0.667625	0.629634	0.671670	0.285632
wgEncodeAwgTfbsSydhH1hescNrf1IggrabUniPk	0.946538	0.957607	0.872987	0.764572
wgEncodeAwgTfbsSydhHepg2Mazab85725IggrabUniPk	0.871141	0.879788	0.780359	0.583894
wgEncodeAwgTfbsSydhHelas3Usf2IggmusUniPk	0.930060	0.937336	0.857205	0.732521
wgEncodeAwgTfbsUwHct116CtcfUniPk	0.977490	0.974142	0.941225	0.883619
wgEncodeAwgTfbsSydhHepg2Srebp1InslnUniPk	0.872714	0.889244	0.780437	0.590591
