dataset	AUROC	AUPRC	F1	MCC
wgEncodeAwgTfbsSydhGm12878Ctcfsc15914c20UniPk	0.975791	0.975631	0.922562	0.844684
wgEncodeAwgTfbsSydhGm12878Chd2ab68301IggmusUniPk	0.795773	0.800646	0.72426	0.438977
wgEncodeAwgTfbsHaibHuvecPol2Pcr1xUniPk	0.790848	0.787273	0.716434	0.439272
wgEncodeAwgTfbsBroadK562Chd1a301218aUniPk	0.74196	0.736671	0.671397	0.347333
wgEncodeAwgTfbsHaibH1hescSp4v20V0422111UniPk	0.757128	0.755295	0.700781	0.351421
wgEncodeAwgTfbsSydhH1hescSuz12UcdUniPk	0.781665	0.779822	0.682899	0.426218
wgEncodeAwgTfbsSydhGm12878Pol2s2IggmusUniPk	0.760302	0.769559	0.644562	0.391048
wgEncodeAwgTfbsHaibA549Usf1Pcr1xEtoh02UniPk	0.916508	0.931139	0.843813	0.710266
wgEncodeAwgTfbsHaibGm12891Pax5c20V0416101UniPk	0.86142	0.872078	0.777966	0.580527
wgEncodeAwgTfbsBroadK562Sap3039731UniPk	0.768221	0.768928	0.658324	0.400785
wgEncodeAwgTfbsHaibK562Yy1V0416101UniPk	0.877442	0.881798	0.747237	0.578313
wgEncodeAwgTfbsHaibSknshraYy1sc281V0416102UniPk	0.869059	0.877023	0.782047	0.582575
wgEncodeAwgTfbsSydhHepg2Arid3anb100279IggrabUniPk	0.836961	0.840754	0.740775	0.519432
wgEncodeAwgTfbsSydhHelas3E2f6UniPk	0.767773	0.755676	0.686339	0.385822
wgEncodeAwgTfbsSydhK562Setdb1MnasedUcdUniPk	0.728411	0.764808	0.636872	0.348725
wgEncodeAwgTfbsSydhK562Kap1UcdUniPk	0.830549	0.858407	0.740883	0.494071
wgEncodeAwgTfbsHaibGm12891Yy1sc281V0416101UniPk	0.871502	0.884592	0.776943	0.593599
wgEncodeAwgTfbsSydhHek293Pol2UniPk	0.80381	0.81905	0.659513	0.445879
wgEncodeAwgTfbsHaibHelas3Pol2Pcr1xUniPk	0.792305	0.791556	0.704895	0.440208
